Quark Pressure,DM Pressure,Mass Quark,Mass DM,Radius
14.328721579903458,13036.133348422676,1.8424881600781933e-16,4.054733326445175e-17,1e-06
14.173127826036355,13001.184776495571,1.0832504647385905e-09,2.3991973682963645e-10,0.00018087056417784053
13.721902908748017,12898.208042623552,8.433098830935407e-09,1.9034841931484173e-09,0.00036074112835568104
13.065655164655125,12743.894841554753,2.5735555072809768e-08,5.9775284603681035e-09,0.0005282665582168979
12.223847304034594,12537.363569188801,5.6570363016931854e-08,1.365842327704486e-08,0.0006957919880781148
11.340937585831913,12309.191983287565,9.797020030483007e-08,2.4703301745341225e-08,0.0008477430451618534
10.437356223668907,12061.754205787498,1.494143561984046e-07,3.951994693545066e-08,0.0009914816603783167
9.523123006620335,11794.875588039004,2.1080210907074915e-07,5.8760026784067264e-08,0.0011316354994237443
8.60567504093291,11507.514956168423,2.822191019659407e-07,8.332844679274506e-08,0.0012713847467498282
7.685671849973885,11195.974443856572,3.644277045855773e-07,1.1468158912569593e-07,0.0014141988135485538
6.748721911849158,10849.473818260361,4.6020471731784484e-07,1.5572087537432238e-07,0.0015660111380670473
5.708052609456139,10421.114364300613,5.829459759194767e-07,2.1632616818427308e-07,0.0017473594524617568
5.003165830227732,10097.885814273379,6.775443780450997e-07,2.7010891371428213e-07,0.0018815923552969814
4.358388814596631,9772.340723894536,7.736981547954414e-07,3.32139818752658e-07,0.002015825258132206
3.822776018056869,9474.808881140503,8.617955773304543e-07,3.96533750207117e-07,0.002138483745645131
3.368063819244921,9198.214947257871,9.434883044484647e-07,4.637570924178402e-07,0.002253077285842452
2.9745768907989314,8936.950152653724,1.02018917404652e-06,5.345003691594628e-07,0.002362264758454368
2.630486289914298,8688.086673132244,1.0926164668169065e-06,6.091505655731912e-07,0.002467482711126557
2.327639621678184,8449.861974349455,1.1612039916118405e-06,6.879677001909953e-07,0.0025696181079121593
2.0599171849728632,8221.088795096439,1.2262562480065227e-06,7.711559845256373e-07,0.0026692749586403374
1.8224891295025738,8000.907437982932,1.2880100213156856e-06,8.588906513838316e-07,0.00276688978301668
1.6114192233382816,7788.663276981317,1.3466628825834265e-06,9.513294656803504e-07,0.002862790389538156
1.423428481262103,7583.839087975021,1.4023877721672577e-06,1.0486178595555044e-06,0.002957229191092644
1.2557424800266974,7386.014713452814,1.4553409599024402e-06,1.1508909275365222e-06,0.00305040349582479
1.1059866215200431,7194.841655227408,1.5056665781121359e-06,1.25827362491996e-06,0.0031424684942707236
0.9721108332062145,7010.026404724865,1.553499270186664e-06,1.3708797650357537e-06,0.0032335458481238025
0.8523333713430269,6831.319185680123,1.5989657522670141e-06,1.4888100719924514e-06,0.0033237294653685094
0.745097601505663,6658.506221625444,1.6421857210278114e-06,1.6121493695096996e-06,0.0034130893713934145
0.6490379425801378,6491.404413572194,1.6832723500751233e-06,1.7409628785437104e-06,0.003501674214483488
0.5629524993062092,6329.857755208633,1.7223325121117393e-06,1.875291514864645e-06,0.003589512725450822
0.4857807205905474,6173.735083269336,1.7594668019506471e-06,2.015145999361514e-06,0.0036766143112520497
0.41658493346555847,6022.928939832887,1.794769396031848e-06,2.16049950307632e-06,0.0037629688628931504
0.35453493956659116,5877.355458594651,1.8283277555021236e-06,2.3112784278142722e-06,0.003848545774510056
0.298895091558781,5736.955308132069,1.8602221551379198e-06,2.467350749109855e-06,0.0039332920861485056
0.24901343414451385,5601.695860540245,1.8905249929642737e-06,2.6285110815734843e-06,0.004017129558082365
0.20431262649709692,5471.574938019665,1.9192997980088412e-06,2.794461197472079e-06,0.004099950332757565
0.16428248375558294,5346.626779824372,1.9465997944089306e-06,2.9647840050226305e-06,0.00418161059484951
0.12847411321966684,5226.931381287297,1.972465775504075e-06,3.138907698849395e-06,0.004261921205551382
0.09649582406365804,5112.629331288657,1.9969228409222856e-06,3.3160543316652554e-06,0.004340633457965329
0.06801136569993231,5003.9463112301555,2.0199751300302517e-06,3.4951619828097317e-06,0.004417416378553997
0.04274188682548921,4901.236131778411,2.04159671381414e-06,3.674758161134542e-06,0.004491818044881744
0.020475212610024288,4805.063640405414,2.0617142401594752e-06,3.852732135544484e-06,0.004563193020648885
0.016476448781825498,4787.168569086383,2.0654452853922466e-06,3.886952503061786e-06,0.004576663468709334
0.012539840458414548,4769.353829180237,2.069156031930608e-06,3.9213749055778876e-06,0.004590133916769784
0.009070813592500313,4753.488253764144,2.072457887148014e-06,3.9523336982849405e-06,0.004602181788759754
0.005650018946539879,4737.686467144462,2.0757438496850934e-06,3.983455007695852e-06,0.004614229660749724
0.0050101412895365615,4734.71307688259,2.0763618774827734e-06,3.989343341317096e-06,0.004616502122467387
0.004371950552361809,4731.741946614401,2.076979346701758e-06,3.995237474828089e-06,0.004618774584185049
0.003100611607089943,4725.80646006169,2.0782126137289614e-06,4.007043152939246e-06,0.004623319507620374
0.002847148150643528,4724.620445772641,2.0784590002963608e-06,4.009407075888856e-06,0.00462422849230744
0.0027964875607009616,4724.383286211881,2.0785082669534523e-06,4.009879972017186e-06,0.004624410289244853
0.0027458376658003967,4724.146141081677,2.0785575300597033e-06,4.0103529053283975e-06,0.004624592086182266
0.0027255807019330755,4724.05128706998,2.0785772343080922e-06,4.010542089064416e-06,0.004624664804957231
0.002705325448753652,4723.956435367,2.07859693798847e-06,4.010731278750023e-06,0.004624737523732196
0.0026648200738656927,4723.766738886994,2.0786363436453355e-06,4.011109675970375e-06,0.004624882961282126
0.0026625003790288087,4723.755874503822,2.0786386004933558e-06,4.011131348986551e-06,0.004624891291062062
