x, y
353.85474533842864, 1.4182961894884183
385.00050325165506, 11.82025920585532
531.4876443601723, 59.39979594073849
617.7754978132904, 87.48408422082248
670.1318519336228, 104.56772322143803
728.8545018295633, 123.44236169082492
786.8057156400874, 142.81955933318156
890.5326999938311, 176.5567950890862
942.5539859154472, 193.94230688151916
1014.3832569797758, 217.43104567723222
1080.0371432189274, 238.57057330533843
1111.6893995720739, 249.62687511067264
1165.545768302938, 267.3378698574115
1217.746276749449, 284.51763594815884
1261.9635905544535, 299.03619943841545
1318.6095968467225, 316.5094061200914
1352.778760832086, 329.20998709873265
1381.9024211274784, 337.9271963775265
1395.94022019695, 343.02193215451166
