Model,Baseline (m),Angular Resolution (arcsec),Nova Flux (Jy),Box Flux (Jy),Nova Missing Flux (%),Box Missing Flux (%),Nova Recovery (%)
c-1,161,1.3359263591546313,52.81514612425225,36.25125229269225,2.161956829514358,6.760840008120041,97.83804317048565
c-2,314,0.6849813497576295,53.49502566176433,37.24672653709433,0.9025059253107234,4.200454463582254,99.09749407468928
c-3,500,0.4301682876477913,53.71627779485072,38.09862907790072,0.4926447900685357,2.0093390599428673,99.50735520993146
c-4,783,0.2746923931339663,52.19758589538855,38.09575323088855,3.305963592078197,2.016735812957492,96.6940364079218
c-5,1398,0.1538513189012129,49.9742258912871,36.4460622094171,7.424653173151256,6.259783855718523,92.57534682684874
c-10,16194,0.01328171815634776,-0.02195571793889,-0.02200943916321,100.04067212981842,100.05660884768619,-0.04067212981841806
