Energy Density,Pressure
1.4103509839057282e-16,6.218969290208379e-38
1.4112443252626742e-16,6.226850196529667e-38
1.4121382324778986e-16,6.23474108982493e-38
1.4130327059098383e-16,6.242641982750128e-38
1.4139277459171213e-16,6.250552887976955e-38
1.4148233528586496e-16,6.258473818193574e-38
1.4157195270935069e-16,6.266404786103817e-38
1.4166162689810376e-16,6.274345804427916e-38
1.417513578880815e-16,6.28229688590223e-38
1.4184114571526055e-16,6.290258043278947e-38
1.419309904156436e-16,6.298229289326722e-38
1.4202089202525653e-16,6.306210636830394e-38
1.4211085058014419e-16,6.314202098590694e-38
1.4220086611637787e-16,6.322203687424879e-38
1.4229093867005183e-16,6.330215416166456e-38
1.423810682772795e-16,6.338237297664879e-38
1.4247125497420084e-16,6.346269344786199e-38
1.425614987969787e-16,6.354311570412768e-38
1.4265179978179511e-16,6.362363987442958e-38
1.4274215796486004e-16,6.370426608791896e-38
1.428325733824014e-16,6.37849944739066e-38
1.4292304607067375e-16,6.386582516187032e-38
1.4301357606595454e-16,6.394675828145196e-38
1.431041634045408e-16,6.402779396245456e-38
1.431948081227558e-16,6.410893233484872e-38
1.4328551025694612e-16,6.419017352876984e-38
1.4337626984347765e-16,6.4271517674515e-38
1.4346708691874293e-16,6.435296490254963e-38
1.4355796151915752e-16,6.44345153435044e-38
1.4364889368115648e-16,6.451616912817243e-38
1.4373988344120155e-16,6.459792638751573e-38
1.4383093083577756e-16,6.467978725266224e-38
1.4392203590138877e-16,6.476175185490293e-38
1.4401319867456756e-16,6.484382032569942e-38
1.4410441919186444e-16,6.492599279667557e-38
1.4419569748985682e-16,6.500826939962534e-38
1.4428703360514516e-16,6.509065026650963e-38
1.4437842757434958e-16,6.51731355294534e-38
1.4446987943411702e-16,6.525572532075226e-38
1.4456138922111752e-16,6.53384197728694e-38
1.4465295697204087e-16,6.542121901843278e-38
1.4474458272360366e-16,6.550412319024152e-38
1.4483626651254564e-16,6.55871324212631e-38
1.4492800837562642e-16,6.567024684463029e-38
1.450198083496323e-16,6.575346659364774e-38
1.4511166647137306e-16,6.583679180178908e-38
1.4520358277767805e-16,6.592022260269382e-38
1.4529555730540483e-16,6.600375913017515e-38
1.4538759009142947e-16,6.60874015182115e-38
1.45479681172655e-16,6.617114990095435e-38
