e,p
8.895010184775826e-09,4.959892776653565e-13
9.218451331193046e-09,5.264077992775157e-13
9.549640294676926e-09,5.583007324355865e-13
9.888668818315702e-09,5.917210207144321e-13
1.0235628647051461e-08,6.267228899847181e-13
1.059061152774975e-08,6.633618086518021e-13
1.0953709209184635e-08,7.016945423272595e-13
1.1325013442093398e-08,7.41779138918468e-13
1.1704615979164091e-08,7.836749766732821e-13
1.2092608575085253e-08,8.27442742642765e-13
1.2489082986548387e-08,8.731444740990115e-13
1.2894130972295178e-08,9.208435601918615e-13
1.3307844293102583e-08,9.706047552026028e-13
1.3730314711839988e-08,1.0224942116782298e-12
1.4161633993466721e-08,1.076579468834453e-12
1.4601893905069332e-08,1.1329294906600963e-12
1.505118621588147e-08,1.1916146543201065e-12
1.5509602697291333e-08,1.2527067948868018e-12
1.5977235122891385e-08,1.3162791871160307e-12
1.6454175268458463e-08,1.3824066034321232e-12
1.694051491203081e-08,1.4511652824503456e-12
1.743634583387579e-08,1.5226329753648624e-12
1.794175981654951e-08,1.5968889360084593e-12
1.8456848644901785e-08,1.674013962270365e-12
1.898170410609604e-08,1.7540904060365305e-12
1.951641798965155e-08,1.8372021433687943e-12
2.0061082087431005e-08,1.9234346672808078e-12
2.061578819370015e-08,2.0128750347232207e-12
2.1180628105125322e-08,2.1056119096582196e-12
2.175569362079579e-08,2.2017355763132265e-12
2.2341076542261042e-08,2.3013379557480316e-12
2.293686867354322e-08,2.40451260916822e-12
2.3543161821144543e-08,2.511354777686278e-12
2.416004779410452e-08,2.621961352500764e-12
2.478761840399491e-08,2.736430931224546e-12
2.542596546494215e-08,2.8548638245116532e-12
2.60751807936621e-08,2.9773620428035756e-12
2.6735356209460083e-08,3.1040293625977766e-12
2.740658353429794e-08,3.2349712734328807e-12
2.808895459276424e-08,3.370295060724323e-12
2.8782561212116525e-08,3.510109766003234e-12
2.948749522231607e-08,3.654526239931257e-12
3.020384845603539e-08,3.803657135673693e-12
3.093171274867558e-08,3.957616935406914e-12
3.167117993840611e-08,4.1165219337512225e-12
3.2422341866169794e-08,4.280490330546788e-12
3.318529037572255e-08,4.449642121510583e-12
3.39601173136284e-08,4.624099250653981e-12
3.474691452930675e-08,4.803985504253124e-12
3.554577387505218e-08,4.989426613565122e-12
3.635678720602709e-08,5.180550228320654e-12
3.718004638032869e-08,5.377485923350811e-12
