e,p
1.0,2.501485740339386e-29
1.0,2.5386243339642786e-29
1.0,2.576314309959355e-29
1.0,2.614563854485879e-29
1.0,2.653381275241958e-29
1.0,2.6927750032668864e-29
1.0,2.732753594772281e-29
1.0,2.7733257330006207e-29
1.0,2.8145002301110435e-29
1.0,2.8562860290935075e-29
1.0,2.8986922057109967e-29
1.0,2.9417279704709187e-29
1.0,2.985402670625531e-29
1.0,3.029725792202066e-29
1.0,3.074706962063241e-29
1.0,3.120355949997989e-29
1.0,3.1666826708436306e-29
1.0,3.21369718663915e-29
1.0,3.2614097088108177e-29
1.0,3.309830600390012e-29
1.0,3.3589703782639573e-29
1.0,3.4088397154601557e-29
1.0,3.4594494434643196e-29
1.0,3.5108105545731333e-29
1.0,3.5629342042816704e-29
1.0,3.6158317137062473e-29
1.0,3.6695145720435454e-29
1.0,3.723994439065797e-29
1.0,3.7792831476534937e-29
1.0,3.835392706365216e-29
1.0,3.8923353020460744e-29
1.0,3.950123302474564e-29
1.0,4.008769259048724e-29
1.0,4.068285909512483e-29
1.0,4.12868618072201e-29
1.0,4.1899831914536516e-29
1.0,4.25219025525303e-29
1.0,4.3153208833269474e-29
1.0,4.379388787477878e-29
1.0,4.4444078830820314e-29
1.0,4.5103922921119836e-29
1.0,4.5773563462036405e-29
1.0,4.645314589769328e-29
1.0,4.714281783156496e-29
1.0,4.784272905853893e-29
1.0,4.8553031597449615e-29
1.0,4.9273879724095196e-29
1.0,5.000543000474871e-29
1.0,5.074784133016064e-29
1.0,5.150127495007275e-29
1.0,5.226589450823786e-29
1.0,5.30418660779657e-29
1.0,5.382935819819238e-29
1.0,5.462854191008524e-29
1.0,5.543959079419559e-29
1.0,5.626268100815645e-29
1.0,5.709799132494706e-29
1.0,5.794570317171823e-29
1.0,5.880600066920113e-29
1.0,5.967907067169635e-29
1.0,6.056510280765675e-29
1.0,6.146428952087763e-29
1.0,6.237682611229107e-29
1.0,6.330291078238877e-29
1.0,6.424274467426658e-29
1.0,6.519653191731584e-29
1.0,6.616447967155824e-29
1.0,6.714679817263876e-29
1.0,6.814370077749207e-29
