x, y
170.2161956661539, 2.4070129115622967
177.28009732385638, 2.622145658002014
184.45975235009763, 2.9093523301553987
190.5379695461711, 3.2996465634706427
197.06738442658622, 3.700302298922016
201.64380348057495, 4.099972435318082
210.38359173346774, 4.543378072574266
219.5022975265997, 5.077610174415291
227.0006398960815, 5.72298187462491
234.7552497618734, 6.341519595120618
243.6345463321252, 7.117743313753125
253.56740153119927, 8.033431807292159
263.6239478592896, 9.094103000623692
275.8307103542979, 10.211703308508756
286.367872958693, 11.371249278732588
295.6273718142542, 12.983049455564569
309.38842730346204, 15.021475504797095
318.80328637497126, 17.07810157294183
332.74220766387805, 19.01852452843093
348.38478242138683, 21.530918189235877
361.9477193312835, 23.889224770209417
378.8845802697676, 28.20931768988796
394.7724768941441, 31.545966823119635
413.05190068755815, 35.15651344770775
430.95490694688397, 39.124158339261264
455.9550669615095, 47.051088347096
476.5469198277835, 53.48296675666241
496.31081855088075, 60.28451091575
522.1347897458003, 69.8018203294383
544.7655248493796, 77.0235069520897
577.4483489341853, 90.62404854255288
599.5388268503674, 102.16800042034411
623.3005441935309, 115.1609252456685
650.3164071530347, 128.71816289439678
683.3182293825255, 142.05305632948478
716.5215581948295, 163.37554820539913
743.4104473677298, 186.41663932091302
771.5293235718314, 203.0654765602132
809.2502640092976, 221.2563121444419
847.3159459490254, 247.31898833027344
892.4006422993973, 286.7928499506751
926.154947574671, 320.53532779882266
978.3295118719977, 358.27012025999306
1029.7963141641073, 402.1738069900042
1076.331871763608, 443.78265312342864
1149.061605185058, 487.6245850288688
1264.1660966529737, 513.3955825851382
1231.2427150802803, 509.8230211108411
1349.2373057629347, 534.2963550961917
1349.2373057629347, 534.2963550961917
1455.6169409731428, 579.6602838745102
