e,p
7.442296369632946e-16,1.7090287532387614e-19
7.574827708632168e-16,1.7600323179327517e-19
7.708923731640241e-16,1.8122462293745697e-19
7.844593637159381e-16,1.8656918952772572e-19
7.981846624064067e-16,1.9203909755055624e-19
8.120691891608499e-16,1.9763653810819134e-19
8.261138639429077e-16,2.0336372778311845e-19
8.403196067544407e-16,2.0922290863806983e-19
8.546873376359276e-16,2.1521634821602247e-19
8.692179766663652e-16,2.213463402028833e-19
8.839124439640648e-16,2.276152039636095e-19
8.987716596864522e-16,2.3402528500608826e-19
9.137965440303164e-16,2.405789551136735e-19
9.2898801723196e-16,2.4727861251085773e-19
9.443469995678932e-16,2.541266817307343e-19
9.598744113541389e-16,2.61125614377086e-19
9.75571172947724e-16,2.682778883291624e-19
9.91438204745585e-16,2.7558600900078203e-19
1.0074764271857624e-15,2.8305250847884114e-19
1.0236867607469516e-15,2.9067994635167075e-19
1.0400701259493984e-15,2.9847090937769385e-19
1.0566274433544524e-15,3.0642801214811038e-19
1.073359633564963e-15,3.145538968549576e-19
1.0902676172260758e-15,3.228512331585731e-19
1.1073523150245368e-15,3.3132271928102506e-19
1.1246146476894865e-15,3.399710813434276e-19
1.1420555359926604e-15,3.4879907346534295e-19
1.1596759007483875e-15,3.5780947846060116e-19
1.1774766628138396e-15,3.6700510780416617e-19
1.1954587430895277e-15,3.7638880130079234e-19
1.2136230625192037e-15,3.8596342797965055e-19
1.2319705420902073e-15,3.957318856635819e-19
1.250502102833665e-15,4.056971012341723e-19
1.2692186658247387e-15,4.1586203119503467e-19
1.2881211521829244e-15,4.262296609759895e-19
1.307210483071902e-15,4.368030060596299e-19
1.3264875797002323e-15,4.475851115174416e-19
1.3459533633214057e-15,4.585790519766688e-19
1.3656087552337436e-15,4.697879325480737e-19
1.3854546767812426e-15,4.812148880307139e-19
1.405492049353128e-15,4.928630841047758e-19
1.425721794384748e-15,5.047357162712788e-19
1.4461448333569272e-15,5.168360108792364e-19
1.4667620877973087e-15,5.291672250262543e-19
1.4875744792792616e-15,5.41732646823604e-19
1.50858292942352e-15,5.545355951311488e-19
1.5297883598971399e-15,5.675794200212234e-19
1.5511916924144429e-15,5.808675033087824e-19
1.572793848737017e-15,5.944032574248348e-19
1.594595750673915e-15,6.081901272719633e-19
1.6165983200821516e-15,6.222315888989531e-19
1.6388024788662557e-15,6.365311504285518e-19
1.6612091489793144e-15,6.51092352388812e-19
1.6838192524226257e-15,6.659187667190628e-19
1.7066337112462444e-15,6.810139982278181e-19
1.7296534475487831e-15,6.963816843277019e-19
1.7528793834779604e-15,7.1202549443903205e-19
1.7763124412309467e-15,7.279491311826531e-19
1.7999535430544155e-15,7.441563299823257e-19
1.8238036112443444e-15,7.606508593960689e-19
1.8478635681469083e-15,7.77436520983623e-19
1.8721343361584323e-15,7.945171497703295e-19
1.8966168377254385e-15,8.118966141145939e-19
1.9213119953453938e-15,8.295788161054968e-19
1.946220731565864e-15,8.475676918278678e-19
1.9713439689860044e-15,8.658672108321378e-19
1.9966826302560637e-15,8.844813769958293e-19
2.0222376380775333e-15,9.03414228324751e-19
2.0480099152037422e-15,9.226698371518034e-19
2.074000384439908e-15,9.422523104683212e-19
2.100209968643286e-15,9.621657895927312e-19
2.1266395907233668e-15,9.82414450766968e-19
2.1532901736423754e-15,1.0030025051564753e-18
2.18016264041502e-15,1.023934199247816e-18
2.207257914109191e-15,1.0452138141859871e-18
2.2345769178459075e-15,1.066845666900985e-18
2.26212057479952e-15,1.0888341097764627e-18
2.2898898081980065e-15,1.1111835306497295e-18
2.3178855413234194e-15,1.133898353076826e-18
2.346108697511439e-15,1.1569830370614756e-18
2.3745602001523184e-15,1.180442078193597e-18
2.403240972690932e-15,1.204280008179449e-18
2.4321519386263777e-15,1.2285013957693931e-18
2.4612940215132224e-15,1.2531108453662515e-18
2.4906681449608013e-15,1.2781129985494847e-18
2.520275232634067e-15,1.3035125335450436e-18
2.55011620825319e-15,1.3293141657555164e-18
2.5801919955947028e-15,1.3555226470311756e-18
2.6105035184907023e-15,1.382142766995349e-18
2.6410517008294994e-15,1.4091793528456128e-18
2.671837466556213e-15,1.4366372686911076e-18
2.702861739672373e-15,1.4645214164140286e-18
2.734125444236368e-15,1.4928367361335045e-18
2.7656295043639916e-15,1.521588205410377e-18
2.7973748442280442e-15,1.5507808400424217e-18
2.829362388058981e-15,1.5804196940643483e-18
2.86159306014501e-15,1.6105098602116803e-18
2.8940677848322398e-15,1.6410564692580706e-18
2.92678748652523e-15,1.6720646908767903e-18
2.9597530896865898e-15,1.7035397335081942e-18
2.9929655188378756e-15,1.73548684429345e-18
3.026425698559389e-15,1.7679113100685678e-18
3.0601345534902802e-15,1.8008184564366394e-18
3.09409300832929e-15,1.8342136483642557e-18
3.128301987834801e-15,1.868102290314044e-18
3.162762416824141e-15,1.9024898270398903e-18
3.197475220175525e-15,1.93738174212903e-18
3.232441322826656e-15,1.9727835599901066e-18
3.267661649775927e-15,2.0087008445277986e-18
3.3031371260821132e-15,2.0451392000705806e-18
3.3388686768650285e-15,2.0821042713707212e-18
3.3748572273053173e-15,2.1196017438693603e-18
3.4111037026451562e-15,2.1576373432326253e-18
3.4476090281875548e-15,2.1962168366107377e-18
3.48437412929795e-15,2.235346031378906e-18
3.5213999314032072e-15,2.275030776396433e-18
3.55868735999237e-15,2.315276961807905e-18
3.5962373406169554e-15,2.3560905188443915e-18
3.6340507988909056e-15,2.397477420618662e-18
3.672128660490888e-15,2.439443681595042e-18
3.7104718511566864e-15,2.4819953585171706e-18
3.7490812966911596e-15,2.525138549413973e-18
3.787957922960534e-15,2.568879395123836e-18
3.827102655894952e-15,2.6132240781680437e-18
3.866516421488076e-15,2.6581788236785368e-18
3.90620014579778e-15,2.703749899331643e-18
3.946154754946253e-15,2.7499436154143474e-18
3.986381175119997e-15,2.796766325221902e-18
4.026880332570625e-15,2.8442244246602154e-18
4.067653153614259e-15,2.892324352908538e-18
4.108700564632231e-15,2.941072592618266e-18
4.150023492071629e-15,2.990475669316528e-18
4.191622862444648e-15,3.040540152599015e-18
4.233499602329486e-15,3.0912726552684904e-18
4.2756546383705454e-15,3.142679834262552e-18
4.3180888972780324e-15,3.1947683904548228e-18
4.3608033058289015e-15,3.2475450687212205e-18
4.403798790866906e-15,3.301016657873691e-18
4.447076279302351e-15,3.3551899918530397e-18
4.490636698112784e-15,3.4100719485360984e-18
4.534480974343201e-15,3.4656694504646784e-18
4.5786100351058924e-15,3.5219894654419905e-18
4.6230248075811385e-15,3.579039005737418e-18
4.667726219016916e-15,3.636825129080548e-18
4.7127151967297375e-15,3.6953549381972894e-18
4.7579926681043556e-15,3.7546355810749504e-18
4.8035595605939125e-15,3.814674251823725e-18
