x, y
-7.459259543859239, -12.213169519035194
-7.266152270764461, -11.884478047377396
-7.049872124898309, -11.500100671830378
-6.821778357619301, -11.108400961518706
-6.551428175286612, -10.68777350892692
-6.3660451931156254, -10.359082037269122
-6.158682059565909, -10.033102541450086
-5.947797558095053, -9.638600456105028
-5.743103848614589, -9.346882255049
-5.495358576485348, -8.887925543936063
-5.249146803289506, -8.51746964436135
-4.985441783001549, -8.11175805888275
-4.762914048888213, -7.674225956896021
-4.545781959170173, -7.310459597723584
-4.320016838419661, -6.935664536806854
-4.122195476011099, -6.616284182195468
-3.7808499726876823, -6.0908840630328935
-3.531741590395419, -5.628944178497319
-3.2690021064729358, -5.240589238386786
-3.062661305545486, -4.862991802436669
-2.8403039602025286, -4.5281531855443475
-2.5618887094052925, -4.02598565940049
-2.1856135081544386, -3.4843136852053505
-1.7780435694108725, -2.8654407988001562
-1.3097584321560358, -2.2321040412549067
-0.9203632955860961, -1.714297454440862
-0.47536462361621723, -1.166930330984325
-0.22432516859300655, -0.862646641875374
0.09776640367772416, -0.5295256096809329
0.4602969107847734, -0.10166622151911753
0.8847353377957372, 0.35701929200994265
1.3475680343984866, 0.7979865633924348
1.898605317800115, 1.4148706675158707
2.3571214988866274, 1.8632506728576406
2.7943390836759203, 2.324919359809339
3.1932191951302222, 2.7300885501201897
3.5966998033847233, 3.113471534526326
4.014209087066991, 3.549195652620547
4.4437023809324945, 3.965303145481066
4.785956624364593, 4.319306391633965
5.072380147369582, 4.5682657736321985
5.374309048478947, 4.865227127976496
5.661641311592618, 5.177375547017853
5.955959514291775, 5.478766461898793
6.222390754905778, 5.728629835843279
6.408682477185446, 5.928140858381443
