R,M
0.0012616470967843848,8.410897279324692e-09
0.08362572132461212,0.0024974061908351764
0.1119399316322451,0.006100748136556681
0.1303188607374412,0.009795457449104936
0.14355669579608335,0.013313660474192142
0.1535968096470711,0.016568236276962738
0.16145891180161676,0.019539899658917743
0.16775275090503233,0.02223712421061784
0.17287344521475353,0.024679431240249232
0.17709150068423857,0.026889918086281335
0.18059972228969753,0.028891851121899764
0.18353985878805643,0.030707157919037022
0.18601873527740162,0.0323558350168158
0.1881185044197648,0.033855800198927574
0.18990343432448342,0.035222955586962035
0.1914245344979159,0.036471343567112444
0.19272280306936246,0.037613335770768044
0.19383155811359426,0.03865982527910469
0.19477813724558019,0.03962040792636751
0.1955851737885419,0.04050354674186579
0.19627154247300946,0.041316717836007134
0.19685310635407977,0.042066538144462186
0.19734326955143464,0.04275887640037945
0.19775344063289454,0.04339894914146403
0.19809336904915278,0.04399140357432813
0.19837143137359647,0.04454038900687055
0.19859485983152658,0.04504961848121976
0.19876992198657067,0.04552242196180744
0.19890207185243342,0.04596179230412366
0.19899607298888436,0.046370425066526284
0.19905609816133712,0.04675075300538024
0.19908581836218597,0.047104976083322814
0.19908846779377953,0.04743508758217481
0.19906690669160634,0.04774289691140054
0.19902366956698364,0.048030049522448694
0.19896101050740156,0.048298044395217045
0.1988809361421385,0.048548249382122224
0.19878523422297112,0.048781914717641726
0.19867550912454557,0.049000184931609896
0.19855319501132568,0.04920410939682065
0.19841958122645967,0.04939465163831711
0.1982758244895563,0.049572697627262526
0.19812296887574943,0.04973906314049624
0.19796195506850803,0.049894500320151615
0.19779363362154972,0.0500397035252796
0.19761877248113016,0.05017531457933792
0.19743806843513637,0.05030192744088972
0.19725215223962342,0.05042009242311174
0.19706159707806822,0.05053031997210323
0.19686692304138764,0.050633084070800305
0.19666860378070766,0.050728825307979446
0.19646707054755894,0.050817953646819215
0.19626271491203737,0.05090085094181612
0.1960558953529128,0.05097787319249287
0.19584693827275773,0.051049352612361494
0.19563614159821927,0.0511155994957017
0.1954237776561066,0.051176903917532005
0.19521009478640508,0.051233537281532474
0.19499532069777764,0.051285753731298414
0.19477966375495517,0.051333791436266894
0.19456331368616495,0.05137787377824081
0.1943464447033996,0.051418210415036844
0.194129216294189,0.05145499827630879
0.1939117752383508,0.05148842246629129
0.1936942525123851,0.05151865709460534
0.19347677290588974,0.051545866039779745
0.1932594473535627,0.05157020365166128
0.19304237897140028,0.051591815398250286
0.19282565994627182,0.05161083845998343
0.19260937737172817,0.051627402287648956
0.19239360843344713,0.05164162909887214
0.19217842537935717,0.05165363435539956
0.19196389409723497,0.05166352719570374
0.1917500723917934,0.05167141083732599
0.19153701625205144,0.051677382949757225
0.19132477407661322,0.05168153600030257
0.19111339144288095,0.051683957575144365
0.1909029088675296,0.05168473067762086
0.19069336277628735,0.05168393400388086
0.19048478737606644,0.05168164220754423
0.1902772127573581,0.05167792613011347
0.19007066528792607,0.05167285303137932
0.1898651702873018,0.05166648679657384
0.18966074887686066,0.05165888813117881
0.1894574209559704,0.0516501147428289
0.18925520355249226,0.05164022151127878
0.18905411130047645,0.05162926064732019
0.18885415817863888,0.05161728184146224
0.1886553556627279,0.05160433240312147
0.18845771370620074,0.051590457389580395
0.18826124076508632,0.05157569973386226
0.18806594304801405,0.0515601003509117
0.18787182791926793,0.05154369825073097
0.18767889869259388,0.05152653063798121
0.1874871588973807,0.05150863300685303
0.18729661215270516,0.05149003923024115
0.1871072591097425,0.051470781643608736
0.18691910058829503,0.051450891123900534
0.18673213660571178,0.05143039716383298
0.18654636659271248,0.05140932794186942
0.18636178878990228,0.051387710388162186
0.1861784012221697,0.05136557024549887
0.1859962008842365,0.051342932132820145
0.18581518453470683,0.051319819593306025
0.18563534879381466,0.05129625515143606
0.18545668991122152,0.05127226036115365
0.18527920252424573,0.05124785585250953
0.18510288156963645,0.051223061375759264
0.1849277221240745,0.05119789584306944
0.18475371849438166,0.051172377367981844
0.18458086515356006,0.05114652330276974
0.18440915513262182,0.051120350273813356
0.18423858281769548,0.0510938742151143
0.18406914076278508,0.05106711040005631
0.18390082276815614,0.051040073470460225
0.18373362124880127,0.05101277746935561
0.18356752992747147,0.05098523586180388
0.18340254028387987,0.05095746156477723
0.18323864593723593,0.050929466970547434
0.18307583869805394,0.05090126396988438
0.18291411110345168,0.050872863974096794
0.18275345537943702,0.050844277935982146
0.18259386339825173,0.050815516369747585
0.18243532759859243,0.0507865893699545
0.18227784079966844,0.050757506629545944
0.18212139318678544,0.05072827745700266
0.1819659781702133,0.050698910792676785
0.18181158680315881,0.050669415224347515
0.18165821149361017,0.05063979900203911
0.1815058441488172,0.05061007005120294
0.18135447698359616,0.050580235989915436
0.18120410110923554,0.050550304136137945
0.18105470899436263,0.050520281523651636
0.18090629192971577,0.05049017491281833
0.18075884268693235,0.05045999080172456
0.18061235250625907,0.05042973543681981
0.18046681378143498,0.0503994148230743
0.18032221810500038,0.050369034733680144
0.18017855726847953,0.05033860071931931
0.18003582415775418,0.050308118117019976
0.17989401055154522,0.050277592058621104
0.17975310840550948,0.05024702747886632
0.17961310969744315,0.05021642912314265
0.17947400739175376,0.050185801554883544
0.17933579256535773,0.050155149162652395
0.17919845864687814,0.050124476166086895
0.17906199720870344,0.05009378662570331
0.1789264009462554,0.05006308444416205
0.1787916622895046,0.050032373375496146
0.17865777407711644,0.05000165702999516
0.1785247285288555,0.049970938879663446
0.17839251819604102,0.049940222263453134
0.17826113592315548,0.049909510392278415
0.17813057454762127,0.04987880635382318
0.1780008265337546,0.04984811311715125
