x, y
-13.776935157841056, -21.539999130484055
-13.469748421383924, -20.889949904481774
-13.144383885639602, -20.268284003577755
-12.872683189872818, -19.796311195956594
-12.625257828873417, -19.314954768965254
-12.356170058875518, -18.709539204607495
-12.051269898223458, -18.048045449978414
-11.797203793823645, -17.564169885533477
-11.552281866585725, -17.15514198535972
-11.348507673547134, -16.698049300212897
-11.10804834288276, -16.219437771884394
-10.836021297152167, -15.690700549326198
-10.553872087397442, -15.09558506073256
-10.33703432854363, -14.625901158836758
-10.13968189489065, -14.229006247215008
-9.946900486789417, -13.897573145234755
-9.759562851211559, -13.510748077648891
-9.520083633467816, -13.061664327281331
-9.25545846004346, -12.609375214794468
-9.028389045158118, -12.088421165806297
-8.763111171806141, -11.508869789093207
-8.546164983974126, -11.073749704806044
-8.329327225120316, -10.734761425724507
-8.116517283898034, -10.267368664813562
-7.896087549383908, -9.81370710299528
-7.694707298099396, -9.410859695331895
-7.483638598703572, -8.981689871826868
-7.291185666624547, -8.673601820037694
-7.106350401778973, -8.239167960416237
-6.906058692393296, -7.830828520167685
-6.666906887642562, -7.386550577719582
-6.3741975458340985, -6.932889015901301
-6.098252174479376, -6.5014314043006625
-5.77234230475644, -6.103848032753705
-5.491498494856959, -5.714963173540966
-5.216424807444663, -5.377578693148829
-4.9242597365856176, -5.035615283676224
-4.610106969793459, -4.702579500636324
-4.294755106065865, -4.29835964364152
-3.983540551977203, -3.9609740456196345
-3.6041837002331363, -3.652430000892986
-3.340322844802202, -3.330838746479886
-2.985130772788919, -2.9424109978343687
-2.6844763507539966, -2.6688867636538305
-2.318726272745371, -2.319142415870701
-1.9658197135079618, -1.8998144399328218
-1.6661454043936708, -1.5750189410301658
-1.354822421326805, -1.334226729300127
-1.0323950352567817, -1.02865781496455
-0.7019141399820956, -0.7157639552559161
-0.37578741230274915, -0.3877642118637077
-0.06174307448879546, -0.021767292274819994
0.33797078639852707, 0.4140401343078004
0.6693212395572434, 0.7026713698016671
0.9778144388988164, 1.0050349220179413
1.350859023264677, 1.4076543332125908
1.7274945202616543, 1.7196317365272797
2.0464372966203666, 2.0677745208805085
2.3562358958171856, 2.3808963770578764
2.617050109566419, 2.6894409805994
2.8722047558650683, 2.900478535529505
