e,p
1.3924340457851644e-08,2.2541650201420922e-15
2.5421936532888806e-08,6.153653061416836e-15
4.1961326974145546e-08,1.4181462616383138e-14
6.445915202126845e-08,2.900490149022521e-14
9.383205334670187e-08,5.423249751720819e-14
1.3099667426924872e-07,9.45734571794663e-14
1.7686965998238603e-07,1.5598573432444905e-13
2.323676577717087e-07,2.4582099254563783e-13
2.984073172059691e-07,3.7297785112787456e-13
3.759052904337321e-07,5.480116422784761e-13
4.657782323029696e-07,7.833642800452271e-13
5.689428006623742e-07,1.09339739457483e-12
6.863156565353152e-07,1.494636697268969e-12
8.188134643590255e-07,2.0058693126685076e-12
9.67352892211365e-07,2.6483094497457338e-12
1.132850611994094e-06,3.445726797155852e-12
1.3162232997093375e-06,4.424603910964621e-12
1.518387635605582e-06,5.6143101695052095e-12
1.7402603044914173e-06,7.047172183677404e-12
1.982757995878426e-06,8.758705736756756e-12
2.246797404217268e-06,1.078771518716993e-11
2.5332952291337574e-06,1.3176459139786943e-11
2.843168175677375e-06,1.5970762274043452e-11
3.1773329544455164e-06,1.922023071662065e-11
3.536706281912769e-06,2.2978310026397567e-11
3.922204880592436e-06,2.730252955960714e-11
4.334745479247773e-06,3.2254535604094653e-11
4.775244813140488e-06,3.790035645338533e-11
5.244619624260621e-06,4.431045210807202e-11
5.743786661475634e-06,5.155994621562434e-11
6.273662680878333e-06,5.972866748821173e-11
6.835164445855201e-06,6.890141477677104e-11
7.429208727434309e-06,7.916800677239426e-11
8.056712304415786e-06,9.062348909544374e-11
8.718591963645166e-06,1.0336825026545686e-10
9.415764500205995e-06,1.1750817908887356e-10
1.0149146717686966e-05,1.331547723453764e-10
1.0919655428312388e-05,1.5042541642908728e-10
1.1728207453215544e-05,1.6944335421430915e-10
1.2575719622724475e-05,1.9033788386107657e-10
1.3463108776448953e-05,2.1324464045635244e-10
1.4391291763578695e-05,2.3830553802907604e-10
1.5361185443107018e-05,2.656690760420533e-10
1.6373706684017213e-05,2.954904222276032e-10
1.742977236554349e-05,3.2793153684102703e-10
1.8530299377344916e-05,3.631613051976416e-10
1.967620461972908e-05,4.013558441646708e-10
2.08684050039876e-05,4.426983779077756e-10
2.2107817452371212e-05,4.873796769199789e-10
2.3395358898549577e-05,5.355979586188903e-10
2.4731946287772768e-05,5.875591524207735e-10
2.611849657694583e-05,6.434770902625319e-10
2.7555926735038826e-05,7.035735728702269e-10
2.9045153743235933e-05,7.680784360275931e-10
3.05870945951094e-05,8.372299481871409e-10
3.2182666296880474e-05,9.112747110673807e-10
3.3832785867643066e-05,9.90467957861149e-10
3.5538370339587404e-05,1.075073619504125e-09
3.7300336758173985e-05,1.165364457211865e-09
3.911960218245663e-05,1.261622277852482e-09
4.0997083685194334e-05,1.3641380996179381e-09
4.293369835305003e-05,1.473212168591173e-09
4.493036328702553e-05,1.5891542072530434e-09
4.698799560232478e-05,1.7122836132878735e-09
4.9107512428950356e-05,1.8429294264491958e-09
5.128983091167855e-05,1.9814305936338195e-09
5.3535868210320316e-05,2.128136200821639e-09
5.5846541500031935e-05,2.2834054233742467e-09
5.8222767971401945e-05,2.4476078076761307e-09
6.066546483086121e-05,2.621123337403189e-09
6.317554930065808e-05,2.8043426488954114e-09
6.575393861921868e-05,2.997667229962432e-09
6.840155004144513e-05,3.2015094033163944e-09
7.111930083877773e-05,3.4162924756761213e-09
7.390810829944344e-05,3.6424511519453405e-09
7.676888972879123e-05,3.880431386108524e-09
7.970256244939177e-05,4.130690580036437e-09
8.271004380122351e-05,4.393697997664373e-09
8.579225114215744e-05,4.669934367381043e-09
8.895010184775826e-05,4.959892776653565e-09
9.218451331193046e-05,5.264077992775158e-09
9.549640294676928e-05,5.583007324355866e-09
9.888668818315701e-05,5.917210207144322e-09
0.00010235628647051463,6.267228899847183e-09
0.00010590611527749751,6.633618086518021e-09
0.00010953709209184636,7.016945423272596e-09
0.000113250134420934,7.417791389184681e-09
